Latitude,Longitude,Country,Country Code,Partner,Title,Link,Group,Functionalities,Domain,Sub-Domain,Focus Area,Primary SDG Targets
-18.13453197,178.4477254,Fiji,FJI,NORAD,The Decision Support System for Disaster Risk Manamgement for Fiji,https://unosat-geodrr.cern.ch/apps/FJI/DSS/,DSS,"The Decision Support System provides contextual analysis of variety of hazard, risk and vulnerability, socio-economic information to support informed decision making. Using different tools, users can easily understand the location of risky areas, what makes them risky and finally identify the means for reducing and adapting to those risks.",Disaster Risk Management,Risk Analysis & Profiling,Composite Risk Index,"SDG 13.1, SDG 11.5"
-9.43384501,159.9517804,Solomon Islands,SLB,NORAD,The Decision Support System for Disaster Risk Manamgement for Solomon Islands,https://unosat-geodrr.cern.ch/apps/SLB/DSS/,DSS,"The Decision Support System provides contextual analysis of variety of hazard, risk and vulnerability, socio-economic information to support informed decision making. Using different tools, users can easily understand the location of risky areas, what makes them risky and finally identify the means for reducing and adapting to those risks.",Disaster Risk Management,Risk Analysis & Profiling,Composite Risk Index,"SDG 13.1, SDG 11.5"
-17.73999907,168.3209974,Vanuatu,VUT,NORAD,The Decision Support System for Disaster Risk Manamgement for Vanuatu,https://unosat-geodrr.cern.ch/apps/VUT/DSS/,DSS,"The Decision Support System provides contextual analysis of variety of hazard, risk and vulnerability, socio-economic information to support informed decision making. Using different tools, users can easily understand the location of risky areas, what makes them risky and finally identify the means for reducing and adapting to those risks.",Disaster Risk Management,Risk Analysis & Profiling,Composite Risk Index,"SDG 13.1, SDG 11.5"
18.001737,102.6802354,Lao PDR,LAO,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/apps/LAO/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
27.44299793,89.66700044,Bhutan,BTN,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/apps/BTN/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
23.70991494,90.40714232,Bangladesh,BGD,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/apps/BGD/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
-9.43384501,159.9517804,Solomon Islands,SLB,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/apps/SLB/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
-17.73999907,168.3209974,Vanuatu,VUT,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/apps/VUT/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
-18.13453197,178.4477254,Fiji,FJI,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/GRAF/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
9.05726695,7.2563853,Nigeria,NGA,NORAD,The Multi-Criteria Decision Analysis tool (MCDA),https://unosat-geodrr.cern.ch/apps/NGA/MCDA/,MCDA,"The Multi-Criteria Decision Analysis tool (MCDA) will enable the user to set up their own evaluation criteria's, visualise various options for interventions based on those, and assess the best possible action. The MCDA tool uses fast, web-based weighted raster overlay to generate models from a service. Choose layers, assign weights, and adjust layer classification values to define your analysis. Then, run the modeler, and visualize results.",Disaster Risk Management,Risk Mitigation,Multi-Criteria Decision Analysis,"SDG 11.3, SDG 13.1"
