Latitude,Longitude,Country,Country Code,Partner,Title,Link,Group,Functionalities,Domain,Sub-Domain,Focus Area,Primary SDG Targets
18.001737,102.6802354,Lao PDR,LAO,SDC SWISS,Laos Dam Collapse 2018 - Flood Risk Atlas,https://unosat-geodrr.cern.ch/apps/LAO/SDC/,Risk Map,"The atlas focuses on the 2018 Saddle Dam D collapse in southern Laos, presenting observed and modeled flood data, exposure, and vulnerability layers. It is designed to support risk-informed decision-making and regional disaster preparedness efforts.",Land-Use Planning & Urban Development,Urban Risk & Resilience,Informal-Settlement Profiling,SDG 11.1
13.75000192,100.5166714,Thailand,THA,INFER,INFER Thailand - Multidimentional Risk Assessment for Food System,https://unosat-geodrr.cern.ch/apps/THA/INFER/,DSS,"A Subnational Food System Risk Assessment Tool to enhance decision-making regarding food system transformation in the context of climate change and other multidimensional threats. This tool will guide risk-informed and evidence-based policy actions towards sustainable, healthy, fair, and resilient food systems.",Food Security & Agriculture,Food-System Monitoring,Crop Suitability & Yield Forecasts,SDG 2.4
-6.107432987,141.7506475,Papua New Guinea,PNG,PNG GeoDRR,Papua New Guinea - Decision Support System,https://unosat-geodrr.cern.ch/apps/PNG/UNDP-Hazard/,Risk Map,"The Papua New Guinea Hazard Information Map is an interactive web application that offers a detailed overview of hazard exposure and critical infrastructure across the country. Developed jointly by UNOSAT and UNDP, this tool combines baseline data such as schools, health centres, and roads with hazard layers including floods, earthquakes, droughts, volcanic eruptions, and more. These layers are sourced from scientific datasets like GIRI and community-based inputs from the 2024 Multi-Hazards Phone Survey.",Disaster Risk Management,Hazard Monitoring & Early Warning,Hazard Analysis,"SDG 13.1, SDG 11.5"
-9.49718702,147.1479483,Papua New Guinea,PNG,PNG GeoDRR,Papua New Guinea - Hazard and Risk Map,https://unosat-geodrr.cern.ch/apps/PNG/UNDP-Hazard/,Risk Map,"The Papua New Guinea Hazard Information Map is an interactive web application that offers a detailed overview of hazard exposure and critical infrastructure across the country. Developed jointly by UNOSAT and UNDP, this tool combines baseline data such as schools, health centres, and roads with hazard layers including floods, earthquakes, droughts, volcanic eruptions, and more. These layers are sourced from scientific datasets like GIRI and community-based inputs from the 2024 Multi-Hazards Phone Survey.",Disaster Risk Management,Hazard Monitoring & Early Warning,Hazard Analysis,"SDG 13.1, SDG 11.5"
-5.183346637,151.5916775,Papua New Guinea,PNG,PNG GeoDRR,Papua New Guinea - Hazard Information Map,https://unosat-geodrr.cern.ch/apps/PNG/UNDP-Hazard/,Risk Map,"The Papua New Guinea Hazard Information Map is an interactive web application that offers a detailed overview of hazard exposure and critical infrastructure across the country. Developed jointly by UNOSAT and UNDP, this tool combines baseline data such as schools, health centres, and roads with hazard layers including floods, earthquakes, droughts, volcanic eruptions, and more. These layers are sourced from scientific datasets like GIRI and community-based inputs from the 2024 Multi-Hazards Phone Survey.",Disaster Risk Management,Hazard Monitoring & Early Warning,Hazard Analysis,"SDG 13.1, SDG 11.5"
-9.43384501,159.9517804,Solomon Islands,SLB,UN-Habitat,"The Urban Vulnerability Atlas - Honiara, Solomon Islands",https://unosat-geodrr.cern.ch/apps/UNH/Honiara/,Risk Map,"The Urban Vulnerability Atlas provides visualizing local multi-layered risk and vulnerability hotspots and profiles ",Land-Use Planning & Urban Development,Urban Risk & Resilience,Informal-Settlement Profiling,SDG 11.1
1.205973955,-77.28717914,Colombia,COL,UN-Habitat,"The Urban Vulnerability Atlas - Pasto, Colombia",https://unosat-geodrr.cern.ch/apps/UNH/Pasto/,Risk Map,"The Urban Vulnerability Atlas provides visualizing local multi-layered risk and vulnerability hotspots and profiles ",Land-Use Planning & Urban Development,Urban Risk & Resilience,Informal-Settlement Profiling,SDG 11.1
9.677582541,39.5330999,Ethiopia,ETH,UN-Habitat,"The Urban Vulnerability Atlas - Debre Birhan, Ethiopia",https://unosat-geodrr.cern.ch/apps/UNH/Debre-Birhan/,Risk Map,"The Urban Vulnerability Atlas provides visualizing local multi-layered risk and vulnerability hotspots and profiles ",Land-Use Planning & Urban Development,Urban Risk & Resilience,Informal-Settlement Profiling,SDG 11.1
-19.78087776,-63.19788689,Bolivia,BOL,UN-Habitat,"The Urban Vulnerability Atlas - Charagua, Bolivia",https://unosat-geodrr.cern.ch/apps/UNH/Charagua/,Risk Map,"The Urban Vulnerability Atlas provides visualizing local multi-layered risk and vulnerability hotspots and profiles ",Land-Use Planning & Urban Development,Urban Risk & Resilience,Informal-Settlement Profiling,SDG 11.1
-11.03426143,-68.77682289,Bolivia,BOL,UN-Habitat,"The Urban Vulnerability Atlas - Cobija, Bolivia",https://unosat-geodrr.cern.ch/apps/UNH/Cobija/,Risk Map,"The Urban Vulnerability Atlas provides visualizing local multi-layered risk and vulnerability hotspots and profiles ",Land-Use Planning & Urban Development,Urban Risk & Resilience,Informal-Settlement Profiling,SDG 11.1
